jurisdiction,vertical,regulator,statute_citation,admin_code_citation,admin_code_title,admin_code_url,verification_status,retrieval_date,source_urls,notes
Puerto Rico,Commercial casino,Puerto Rico Tourism Company - Gaming Division,"P.R. Laws Ann. tit. 15, § 71 et seq. (Act No. 221 of 1948 - Games of Chance Act)","Reglamento Núm. 8640 (Reglamento de Juegos de Azar), aprobado 3 de agosto de 2015 (revisado)",Reglamento de Juegos de Azar,https://docs.pr.gov/files/ComJuegos/NegociadoJuegosAzar/Reglamentos/8640%20Reglamento%20de%20Juegos%20de%20Azar-%20Aprobado%20por%20la%20Junta-%203%20de%20agosto%20de%202015%20-%20Revisado.pdf,verified,2026-05-23,https://docs.pr.gov/files/ComJuegos/NegociadoJuegosAzar/Reglamentos/8640%20Reglamento%20de%20Juegos%20de%20Azar-%20Aprobado%20por%20la%20Junta-%203%20de%20agosto%20de%202015%20-%20Revisado.pdf; https://www.comjuegos.pr.gov/,"Reglamento 8640 (Reglamento de Juegos de Azar) implements the Games of Chance Act; PDF confirmed HTTP 200 application/pdf (2.4MB) on official docs.pr.gov. Originally issued under the Tourism Company Gaming Division; the Gaming Division and its rules were absorbed by the PR Gaming Commission (Comision de Juegos, Negociado de Juegos de Azar) under Act 81-2019. Hosted under ComJuegos repository."
Puerto Rico,Horse/parimutuel racing,Puerto Rico Gaming Commission (Comision de Juegos),"P.R. Laws Ann. tit. 15, § 198 et seq. (Act No. 83 of 1955 - Horse Racing Industry Act)",Reglamento Núm. 8943 (Reglamento de Carreras); see also Reglamento Núm. 8944 (Reglamento Hípico Parte General y de Licencias) and Reglamento Núm. 8848 (Reglamento Procesal de la Junta Hípica),Reglamento de Carreras,https://docs.pr.gov/files/ComJuegos/Negociado%20del%20Deporte%20Hipico/Reglamentos/8943%20REGLAMENTO%20DE%20CARRERAS.pdf,verified,2026-05-23,https://docs.pr.gov/files/ComJuegos/Negociado%20del%20Deporte%20Hipico/Reglamentos/8943%20REGLAMENTO%20DE%20CARRERAS.pdf; https://docs.pr.gov/files/ComJuegos/Negociado%20del%20Deporte%20Hipico/Reglamentos/8944%20REGLAMENTO%20HIPICO%20PARTE%20GENERAL%20Y%20DE%20LICENCIAS.pdf,Reglamento 8943 (Reglamento de Carreras) confirmed HTTP 200 application/pdf (10.2MB) on official docs.pr.gov under ComJuegos/Negociado del Deporte Hipico. Companion reglamentos 8944 (general & licensing) and 8848 (procedural) also resolve. Administered by PR Gaming Commission's horse racing bureau (formerly Tourism Co. equestrian sports administration).
Puerto Rico,Sports betting,Puerto Rico Gaming Commission,Act No. 81-2019 (Puerto Rico Gaming Commission Act); Act No. 257-2018 (Sports Betting),Reglamento Núm. 9316 (Puerto Rico Sports Betting Regulations / Reglamento de Apuestas Deportivas de Puerto Rico); see also Reglamento Núm. 9317 (Fantasy Contest Regulations),Puerto Rico Sports Betting Regulations (Reglamento de Apuestas Deportivas de Puerto Rico),https://docs.pr.gov/files/ComJuegos/Negociado%20Apuestas%20Deportivas/Reglamentos/9316%20PUERTO%20RICO%20SPORTS%20BETTING%20REGULATIONS.pdf,verified,2026-05-23,https://docs.pr.gov/files/ComJuegos/Negociado%20Apuestas%20Deportivas/Reglamentos/9316%20PUERTO%20RICO%20SPORTS%20BETTING%20REGULATIONS.pdf; https://docs.pr.gov/files/ComJuegos/Negociado%20Apuestas%20Deportivas/Reglamentos/9317%20PUERTO%20RICO%20FANTASY%20CONTEST%20REGULATIONS.pdf,Reglamento 9316 (PR Sports Betting Regulations) confirmed HTTP 200 application/pdf (5.9MB English version; a parallel Spanish-titled file at 6.9MB also resolves) on official docs.pr.gov under ComJuegos/Negociado Apuestas Deportivas. Issued by the PR Gaming Commission under Act 81-2019. Reglamento 9317 covers fantasy contests.
Puerto Rico,Charitable gaming,N/A,NOT FOUND - needs human review,,,,N/A - not authorized,2026-05-23,,Row flagged N/A (not authorized) in assignment; no research performed per instructions.
Virgin Islands,Lottery,Virgin Islands Lottery,"V.I. Code Ann. tit. 32, ch. 11 (§§ 241-265)",,,,NOT FOUND - needs human review,2026-05-23,https://law.justia.com/codes/virgin-islands/2019/title-32/chapter-13/246/,"Statute V.I.C. tit.32 sec.246 empowers the V.I. Lottery Commission to promulgate rules/regulations, but no official V.I. Rules & Regulations or rules document for the Lottery could be located online. The V.I. Lottery (winusvilottery.com / administered via Dept. of Property & Procurement, dpp.vi.gov) publishes game info but not codified admin rules. Tried: VI Lottery official site search, .vi/.gov rules search, V.I. Code title 32 ch.13. No resolvable official admin-rules citation found. (Note: assigned statute cites ch.11 secs.241-265; the V.I. Lottery is actually codified at tit.32 ch.13 secs.241-265.)"
Virgin Islands,Commercial casino,Virgin Islands Casino Control Commission; Division of Gaming Enforcement,"V.I. Code Ann. tit. 32, ch. 21 (§§ 401-630)","Virgin Islands Casino Control Commission Casino Regulations (rules adopted under the V.I. Casino and Resort Control Act of 1995, V.I.C. tit. 32 ch. 21)",Virgin Islands Casino Control Commission - Casino Regulations,https://www.casinocontrolcommission.vi/wp-content/uploads/2016/07/Casino-Regulations.pdf,verified,2026-05-23,https://www.casinocontrolcommission.vi/wp-content/uploads/2016/07/Casino-Regulations.pdf; https://casinocontrolcommission.vi/resources/laws-regulations/,"Casino Regulations PDF confirmed HTTP 200 application/pdf (2.15MB) on the official V.I. Casino Control Commission site (casinocontrolcommission.vi, .vi territorial domain). Linked from the Commission's Laws & Regulations page. No formal V.I. R.&R. title 32 citation number is printed on the published rules; cited by document title."
Virgin Islands,Horse/parimutuel racing,Virgin Islands Racing Commission,"V.I. Code Ann. tit. 32, ch. 9 (§§ 191-209)",,,,NOT FOUND - needs human review,2026-05-23,https://dspr.vi.gov/horseracecommission.html,"The V.I. Horse Racing Commission (within Dept. of Sports, Parks & Recreation, dspr.vi.gov) is statutorily empowered (V.I.C. tit.32 sec.202) to adopt rules that, after Governor approval and filing, have force of law. The official DSPR Horse Race Commission page references a 'Rules & Regulations' link, but it is JavaScript-driven with no static/resolvable document, and no published rules PDF could be located. Tried: dspr.vi.gov page scrape, .vi/.gov rules search, V.I. Code title 32 ch.11. No resolvable official admin-rules document found online."
Virgin Islands,iGaming/online casino,Virgin Islands Casino Control Commission,"V.I. Code Ann. tit. 32, ch. 21, art. XIV (Virgin Islands Internet Gaming and Internet Gambling Act)","Virgin Islands Internet Gaming and Internet Gambling Regulations (adopted Nov. 25, 2002)",Virgin Islands Internet Gaming and Internet Gambling Regulations,https://www.casinocontrolcommission.vi/wp-content/uploads/2016/07/I-Gaming-Regulations-FINAL-Adopted-Nov-25-2002.pdf,verified,2026-05-23,https://www.casinocontrolcommission.vi/wp-content/uploads/2016/07/I-Gaming-Regulations-FINAL-Adopted-Nov-25-2002.pdf; https://casinocontrolcommission.vi/resources/laws-regulations/,Internet Gaming and Internet Gambling Regulations PDF confirmed HTTP 200 application/pdf (414KB) on the official V.I. Casino Control Commission site. Linked from the Commission's Laws & Regulations page alongside the Internet Gaming and Internet Gambling Act (2011) and the Internet Gaming and Gambling Licensing and Fees Requirements Act.
Guam,Lottery,Guam Department of Revenue and Taxation,10 Guam Code Ann. § 6101 et seq.,,,,NOT FOUND - needs human review,2026-05-23,https://col.guamcourts.gov/guam-administrative-rules-regulations/guam-administrative-rules-and-regulations,"No Guam lottery administrative rules located. Guam's former Territorial Lottery Act (Govt Code sec.6230 et seq.) was repealed in 1988 (P.L. 19-019), and Guam has no operating territorial lottery; the GARR gaming chapter (3 GAR ch.7) does not contain lottery operating rules. (Note: the assigned statute '10 GCA sec.6101 et seq.' actually corresponds to Title 10 Health & Safety, ch.6 'Guam Medical Assistance Plan' - not a lottery provision; no implementing lottery admin rules exist.) Tried: GARR title list, 3 GAR ch.7 review, Guam DRT, 10 GCA sec.6101 lookup."
Guam,Charitable gaming,Guam Department of Revenue and Taxation,9 Guam Code Ann. § 64.10 et seq.; 11 Guam Code Ann. ch. 5,"3 GAR (Guam Administrative Rules & Regulations) Title 3 - Business Regulations, Chapter 7 - Gaming (includes Art. 3 Non-Profit Bingo)",3 GAR ch. 7 - Gaming,https://col.guamcourts.gov/sites/default/files/03GAR001-7.pdf,verified,2026-05-23,https://col.guamcourts.gov/sites/default/files/03GAR001-7.pdf; https://col.guamcourts.gov/guam-administrative-rules-regulations/guam-administrative-rules-and-regulations,"3 GAR Chapter 7 (Gaming) confirmed HTTP 200 application/pdf (159KB) on the official Guam Compiler of Laws (col.guamcourts.gov). The chapter contains the Gaming Control Act rules and Art. 3 Non-Profit Bingo, promulgated by Dept. of Revenue & Taxation under P.L. 26-052 authority to regulate gaming activities. Some articles invalidated/repealed. (The canonical guamcourts.gov/CompilerofLaws path 404s; the col.guamcourts.gov URL is the live official copy.)"
Guam,Horse/parimutuel racing,Guam Department of Revenue and Taxation,11 Guam Code Ann. ch. 5,"3 GAR (Guam Administrative Rules & Regulations) Title 3 - Business Regulations, Chapter 7 - Gaming (Art. 2 Dog Racing - Pari-Mutuel)","3 GAR ch. 7 - Gaming, Art. 2 (Pari-Mutuel)",https://col.guamcourts.gov/sites/default/files/03GAR001-7.pdf,verified,2026-05-23,https://col.guamcourts.gov/sites/default/files/03GAR001-7.pdf; https://col.guamcourts.gov/guam-administrative-rules-regulations/guam-administrative-rules-and-regulations,"3 GAR Chapter 7 (Gaming) confirmed HTTP 200 application/pdf on the official Guam Compiler of Laws. Parimutuel racing rules appear in Art. 2 (Dog Racing - Pari-Mutuel). Note: Guam has no live horse racing; 11 GCA ch.5 / P.L. 30-162 established a prohibition against dog racing, so the parimutuel article is largely inoperative, but it is the only admin-rules implementation on point. Caller may wish to flag the prohibition status for human review."
Northern Mariana Islands,Lottery,Commonwealth Lottery Commission,4 N. Mar. I. Code § 50101 et seq. (P.L. 3-60),"NMIAC Title 70, Subchapter 70-50.1 - Operation of the CNMI Lottery Rules and Regulations","NMI Administrative Code tit. 70, subch. 70-50.1 (Operation of the CNMI Lottery Rules and Regulations)",https://cnmilaw.org/pdf/admincode/T70/T70-50.1.pdf,verified,2026-05-23,https://cnmilaw.org/pdf/admincode/T70/T70-50.1.pdf; https://cnmilaw.org/admin.php,NMIAC Title 70-50.1 (Operation of the CNMI Lottery Rules and Regulations) confirmed HTTP 200 application/pdf (590KB) on the official CNMI Law Revision Commission site (cnmilaw.org). Companion Title 70-50.2 covers Video Lottery Regulations.
Northern Mariana Islands,Commercial casino,Commonwealth Casino Commission,P.L. 18-56 (Saipan Casino Act),"NMIAC Title 175, Subchapter 175-10.1 - Commonwealth Casino Commission Rules and Regulations","NMI Administrative Code tit. 175, subch. 175-10.1 (Commonwealth Casino Commission Rules and Regulations)",https://cnmilaw.org/pdf/admincode/T175/T175-10.1.pdf,verified,2026-05-23,https://cnmilaw.org/pdf/admincode/T175/T175-10.1.pdf; https://cnmilaw.org/admin.php,NMIAC Title 175-10.1 (Commonwealth Casino Commission Rules and Regulations) confirmed HTTP 200 application/pdf (1.05MB) on the official CNMI Law Revision Commission site (cnmilaw.org). Implements the Commonwealth Casino Commission's authority over the Saipan exclusive casino license.
American Samoa,Charitable gaming,American Samoa Attorney General; local authorization,"Am. Samoa Code Ann. tit. 46, ch. 43 (§§ 46.4301 et seq.)",,,,NOT FOUND - needs human review,2026-05-23,https://www.osas.as/asac-2024; https://asbar.org/code-annotated/46-4302-exception-for-bingo-and-raffles/,"Gambling is prohibited by statute in American Samoa (A.S.C.A. tit.46 ch.43); sec.46.4302 provides a narrow statutory exception for occasional bingo/raffles for charitable, religious, or educational purposes. No administrative rules implement charitable gaming: the official American Samoa Administrative Code (ASAC 2023/2024 Edition, Secretary of American Samoa, osas.as) title list contains no gaming/gambling/bingo/lottery title. The exception is purely statutory with no admin-rules layer. Tried: ASAC title list, ASAC 2023 PDF, asbar.org code-annotated. No official admin-rules citation found - correct NOT FOUND."
Federal,Commercial casino,National Indian Gaming Commission (NIGC); tribal gaming commissions; state compacts for Class III,25 U.S.C. §§ 2701-2721,"25 C.F.R. ch. III (parts 500-599) - National Indian Gaming Commission, Department of the Interior",25 C.F.R. Chapter III - National Indian Gaming Commission,https://www.ecfr.gov/current/title-25/chapter-III,verified,2026-05-23,https://www.ecfr.gov/current/title-25/chapter-III; https://www.ecfr.gov/api/versioner/v1/full/2025-12-01/title-25.xml?chapter=III&part=501,"Verified via official eCFR API (ecfr.gov). 25 CFR Part 501 confirmed: 'This chapter implements the Indian Gaming Regulatory Act (Pub. L. 100-497)'; authority 25 U.S.C. 2706, 2710. Chapter III spans parts 500-599 (Subchapters A-I) including ordinance approval, management contracts, MICS, licensing/background, compliance/enforcement, and appeals. Title 25 current as of 2026-05-21 per eCFR. The browser URL ecfr.gov/current/title-25/chapter-III is the canonical official citation (the API endpoint was used to bypass a CAPTCHA on the HTML page and confirm live content)."
Kansas,Lottery,Kansas Lottery,Kan. Stat. Ann. § 74-8701 et seq.,Kansas Administrative Regulations (K.A.R.) Agency 111,"Kansas Administrative Regulations, Agency 111 - Kansas Lottery",https://www.sos.ks.gov/publications/kansas-administrative-regulations.html,verified,2026-05-23,https://www.sos.ks.gov/publications/kansas-administrative-regulations.html;https://sos.ks.gov/publications/KAR/2022/2022_KAR_Volumes_Book_5.pdf,"K.A.R. Agency 111 = Kansas Lottery. Official KAR published by KS Secretary of State; current searchable KAR at rules.ks.gov (JS app), official volumes/home page on sos.ks.gov verified. Agency 111 located in KAR Volume 5 (Agencies 101-133)."
Kansas,Commercial casino,Kansas Racing and Gaming Commission; Kansas Lottery,Kan. Stat. Ann. § 74-8733 et seq.,Kansas Administrative Regulations (K.A.R.) Agency 112,"Kansas Administrative Regulations, Agency 112 - Kansas Racing and Gaming Commission",https://www.sos.ks.gov/publications/kansas-administrative-regulations.html,verified,2026-05-23,https://www.sos.ks.gov/publications/kansas-administrative-regulations.html;https://sos.ks.gov/publications/KAR/2022/2022_KAR_Volumes_Book_5.pdf,"State-owned casinos regulated under K.A.R. Agency 112 (KRGC) Articles 101-114 (facility manager, table games, EGMs, security, responsible gaming) plus Kansas Lottery oversight. Agency 112 in KAR Volume 5."
Kansas,Horse/parimutuel racing,Kansas Racing and Gaming Commission,Kan. Stat. Ann. § 74-8801 et seq.,Kansas Administrative Regulations (K.A.R.) Agency 112,"Kansas Administrative Regulations, Agency 112 - Kansas Racing and Gaming Commission",https://www.sos.ks.gov/publications/kansas-administrative-regulations.html,verified,2026-05-23,https://www.sos.ks.gov/publications/kansas-administrative-regulations.html;https://sos.ks.gov/publications/KAR/2022/2022_KAR_Volumes_Book_5.pdf,"K.A.R. Agency 112 (KRGC) racing articles (e.g., Articles 1-15: race track officials, rules of racing, parimutuel wagering, harness/simulcasting). Same agency as gaming."
Kansas,Sports betting,Kansas Racing and Gaming Commission; Kansas Lottery,Kan. Stat. Ann. § 74-8775 et seq.,Kansas Administrative Regulations (K.A.R.) Agency 111 Article 7 (Sports Wagering); Agency 112,"Kansas Administrative Regulations, Agency 111 Article 7 - Sports Wagering (Kansas Lottery); Agency 112 (Racing and Gaming Commission)",https://www.sos.ks.gov/publications/kansas-administrative-regulations.html,verified,2026-05-23,https://www.sos.ks.gov/publications/kansas-administrative-regulations.html;https://sos.ks.gov/publications/KAR/2022/2022_KAR_Volumes_Book_5.pdf,"Sports wagering regs at K.A.R. 111-701 et seq. (Kansas Lottery, Article 7), with KRGC (Agency 112) oversight of facility managers. Both agencies in KAR Volume 5."
Kansas,Charitable gaming,Kansas Department of Revenue,Kan. Stat. Ann. § 75-5171 et seq. (bingo); § 75-5191 et seq. (charitable raffles),Kansas Administrative Regulations (K.A.R.) Agency 92 Article 23 (Charitable Gaming),"Kansas Administrative Regulations, Agency 92 - Kansas Department of Revenue, Article 23 - Charitable Gaming",https://www.sos.ks.gov/publications/kansas-administrative-regulations.html,verified,2026-05-23,https://www.sos.ks.gov/publications/kansas-administrative-regulations.html;https://www.ksrevenue.gov/bustaxtypesbingo.html;https://sos.ks.gov/publications/KAR/2022/2022_KAR_Volumes_Book_4.pdf,"Bingo/raffles administered by KS Dept of Revenue Office of Charitable Gaming; rules at K.A.R. 92-23 (e.g., 92-23-72, 92-23-73). Agency 92 in KAR Volume 4 (Agencies 71-100)."
Kentucky,Lottery,Kentucky Lottery Corporation,Ky. Rev. Stat. § 154A.010 et seq.,202 KAR Chapter 3,"Kentucky Administrative Regulations, Title 202 Chapter 3 - Kentucky Lottery Corporation",https://apps.legislature.ky.gov/law/kar/titles/202/003/,verified,2026-05-23,https://apps.legislature.ky.gov/law/kar/titles/202/003/,"Lead said 745 KAR (incorrect; 745 = KY State University). Correct: 202 KAR Ch 3 (Code of ethics, Procurement, Retailers, Internal audit). Verified official LRC site."
Kentucky,Horse/parimutuel racing,Kentucky Horse Racing and Gaming Corporation,Ky. Rev. Stat. ch. 230,810 KAR,"Kentucky Administrative Regulations, Title 810 - Public Protection Cabinet, Kentucky Horse Racing Commission (Horse Racing)",https://apps.legislature.ky.gov/law/kar/titles/810/,verified,2026-05-23,https://apps.legislature.ky.gov/law/kar/titles/810/;https://apps.legislature.ky.gov/law/kar/titles/809/,"Horse racing regs in 810 KAR (Ch 1 Thoroughbred, 2 General, 3 Licensing, 4 Flat/Steeplechase, 5 Standardbred, 6 Pari-Mutuel, 7 Funds, 8 Medication, 9 Hearings). Associated licensing also in 809 KAR Ch 1. Now under KHRGC. Verified."
Kentucky,Sports betting,Kentucky Horse Racing and Gaming Corporation,Ky. Rev. Stat. § 230.379,809 KAR Chapter 10,"Kentucky Administrative Regulations, Title 809 Chapter 10 - Technical Criteria (Sports Wagering)",https://apps.legislature.ky.gov/law/kar/titles/809/010/,verified,2026-05-23,https://apps.legislature.ky.gov/law/kar/titles/809/010/;https://khrc.ky.gov/newstatic_Info.aspx?static_ID=697,"Sports wagering regs at 809 KAR 10:001-008 (Definitions, Standards, Technical, Accounts, Premises, Audit/Internal Controls, Responsible Gaming/Advertising, Disciplinary). Service/occupational licensing in 809 KAR Ch 1. Effective 4-2-2024. Verified."
