jurisdiction,program_name,program_type,administering_body,verticals_covered,enrollment_method,duration_options,removal_process,official_url,is_nvsep,idpair_flag,verification_status,retrieval_date,source_urls,notes
Arizona,Arizona Department of Gaming Self-Exclusion Program - Event Wagering and Fantasy Sports,state-run,Arizona Department of Gaming,Sports betting (retail and online);DFS/fantasy sports,In-person at ADG office (notarized form + photo by mail or in-person; notary available at ADG),"One year, five years, or ten years",No removal process specified (irrevocable for duration of period),https://gaming.az.gov/exclude,no,no,verified,2026-05-23,https://gaming.az.gov/exclude;https://gaming.az.gov/ewfs-home-page;https://gaming.az.gov/gaming,Statewide exclusion covers all licensed Event Wagering (sports betting) and Fantasy Sports Contests in AZ under ADG regulatory purview. Both retail and online sports wagering covered. Same ADG program as tribal gaming exclusion - individuals may choose to exclude from one or both categories.
Arizona,Arizona Lottery iLottery Responsible Play - Self-Exclusion (az.lotto.com),state-run,Arizona State Lottery (via az.lotto.com platform),Lottery (iLottery/online only),Online via player account,Cool-Off: 72 hours to 3 months; Self-Exclude: 6 months to 1 year,Account-based self-service,https://az.lotto.com/responsible-play,no,no,verified,2026-05-23,https://az.lotto.com/responsible-play,AZ Lottery online/iLottery platform (az.lotto.com) offers account-based self-exclusion (6 months to 1 year) and cool-off tools. This is a separate digital tool from the ADG statewide exclusion program. Retail lottery ticket purchases not covered. No evidence of NVSEP involvement in AZ lottery.
Arkansas,Arkansas Casino Self-Exclusion (property-by-property; statewide list pending),property-by-property,Arkansas Racing Commission (DFA); individual casino operators (Saracen Casino Resort; Southland Casino Hotel; Oaklawn Racing Casino Resort),commercial casino;retail sports betting,Per-property: in-person at Security/casino desk or mail (Southland); in-person or online (Saracen),Southland: 2 years; Saracen: player-specified duration; Oaklawn: not publicly specified,Per-property request; no statewide reinstatement process yet,https://codeofarrules.arkansas.gov/Rules/Rule?levelType=section&titleID=23&chapterID=238&subChapterID=295&partID=1258&subPartID=7968&sectionID=52253,no,no,verified,2026-05-23,https://codeofarrules.arkansas.gov/Rules/Rule?levelType=section&titleID=23&chapterID=238&subChapterID=295&partID=1258&subPartID=7968&sectionID=52253;https://www.southlandcasino.com/casino/responsible-gaming/;https://www.saracenresort.com/responsible-gaming/,Arkansas Racing Commission rule 23 CAR §358-514 requires all casino licensees to maintain self-exclusion registers and prevent self-excluded individuals from playing. Act 879 of 2025 mandates a statewide self-exclusion list; the ARC drafted an amendment to §358-514 but as of May 2026 the rule is still in internal DFA review and has not been forwarded to the Governor. Currently each casino operates its own property-level program. Southland: 2-year term. Saracen: player-specified duration. All three casinos confirmed to have individual programs.
Arkansas,No voluntary self-exclusion program (confirmed — Arkansas Scholarship Lottery),none,Arkansas Scholarship Lottery,lottery (retail),N/A,N/A,N/A,https://www.myarkansaslottery.com/about/faq,no,no,verified,2026-05-23,https://www.myarkansaslottery.com/about/faq;https://playershub.myarkansaslottery.com/,Official Arkansas Scholarship Lottery FAQ and Players Hub reviewed. No self-exclusion or voluntary exclusion program exists for lottery players. Responsible gaming page refers only to external resources (NCPG helpline 1-800-522-4700; Gamblers Anonymous). Lottery has NASPL/NCPG Responsible Gambling Certification (2019) but no account-level self-exclusion tool.
California,California Bureau of Gambling Control Statewide Self-Exclusion Program (Cardrooms),state-run,California Department of Justice - Bureau of Gambling Control,Commercial casino (cardrooms),In-person at any licensed cardroom; or mail to Bureau of Gambling Control / CGCC,One year or lifetime,Submit Self-Exclusion Removal Request form (CGCC-CH7-06) after minimum 1-year minimum term; lifetime terms require min. 1 year on list before removal request,https://oag.ca.gov/gambling/exclusion_self,yes,yes,verified,2026-05-23,https://oag.ca.gov/gambling/exclusion_self;https://www.cgcc.ca.gov/?pageID=forms;https://www.cgcc.ca.gov/documents/forms/CGCC-CH7-05_Self-Exclusion_Request_New0520.pdf;https://www.nvsep.org/california,"Bureau of Gambling Control administers confidential statewide Self-Exclusion list for licensed cardrooms. NVSEP (idPair) provides free assistance for Californians enrolling in this program since August 2024; California was 5th state to join NVSEP. NVSEP has no jurisdiction over tribal casinos. Program does NOT cover tribal gaming, horse racing, or lottery. Forms: CGCC-CH7-05 (enrollment) and CGCC-CH7-06 (removal request)."
California,NVSEP - California Card Room Self-Exclusion Assistance,national-NVSEP,idPair / NVSEP (assists with California Bureau of Gambling Control program),Commercial casino (cardrooms),Online via nvsep.org (with free notarization via partner Proof),Same as state program (one year or lifetime),Same as state program,https://www.nvsep.org/california,yes,yes,verified,2026-05-23,https://www.nvsep.org/california;https://gamingamerica.com/news/10702/nvsep-to-kick-off-no-cost-self-exclusion-support-program-in-california;https://cdcgaming.com/california-joins-national-voluntary-self-exclusion-program/,"idPair/NVSEP launched in California in August 2024. NVSEP assists consumers with enrollment in the state's cardroom self-exclusion program - it does not replace the state program. Partnered with California Council on Problem Gambling. Covers 60+ cardrooms. No jurisdiction over tribal casinos. Does not extend to online/iGaming, sports betting, DFS, lottery, or horse racing (those verticals not legal or separately regulated in CA)."
California,Operator/Account-Level Self-Exclusion — ADW (no CHRB central list),property-by-property,Individual ADW operators (TVG/FanDuel Racing; TwinSpires; Xpressbet; others licensed by CHRB),horse/parimutuel racing;ADW,Account-level via operator website or app (TVG/FanDuel: in-app under Responsible Gaming; TwinSpires: Player Services 877-774-7371 or online),TVG/FanDuel: 3;6;9;12 months; TwinSpires: permanent (others not specified),TVG/FanDuel: automatic end of period; TwinSpires: contact Player Services for permanent removal,https://www.chrb.ca.gov/adw.html,no,no,verified,2026-05-23,https://www.chrb.ca.gov/adw.html;https://www.fanduel.com/rg/racing;https://support.twinspires.com/hc/en-us/articles/360055118392-How-can-I-be-excluded-from-wagering-on-the-website,CHRB licenses ADW operators but does not maintain a central ADW self-exclusion list. California DOJ self-exclusion program (Bureau of Gambling Control) explicitly does NOT cover horse racing venues. Individual licensed ADW operators (TVG/FanDuel Racing; TwinSpires; Xpressbet) each offer account-level self-exclusion. TVG/FanDuel offers 3/6/9/12-month periods via app. TwinSpires offers permanent exclusion via Player Services call. Program is operator-level only with no CHRB-administered central list.
Colorado,Colorado Division of Gaming Self-Exclusion Program (Casinos and Sports Betting),state-run,Colorado Division of Gaming / Colorado Limited Gaming Control Commission,Commercial casino;Sports betting (retail and online),Online (Google form or PDF); in-person or mail to Division of Gaming office; PDF printable,"One year, three years, or five years",Request for removal after minimum period expires (no reinstatement before minimum ends); winnings forfeited,https://sbg.colorado.gov/self-exclusion,yes,yes,verified,2026-05-23,https://sbg.colorado.gov/self-exclusion;https://sbg.colorado.gov/news-article/colorado-division-of-gaming-launched-self-exclusion-program;https://betsmart.colorado.gov/self-exclusion;https://www.nvsep.org/colorado,Program launched September 2023. Covers all casinos and sports betting (retail and online) under CLGCC/Division of Gaming purview. Under Rules 29 (limited gaming) and Sports Betting Rule 9. As of Sept 2024 nearly 300 enrollees. Colorado is one of the 4 launch states for NVSEP (August 2024); NVSEP assists with enrollment via nvsep.org/colorado.
Colorado,NVSEP - Colorado Self-Exclusion Assistance,national-NVSEP,idPair / NVSEP (assists with Colorado Division of Gaming program),Commercial casino;Sports betting (retail and online),Online via nvsep.org,"One year, three years, or five years (same as state program)",Same as state program,https://www.nvsep.org/colorado,yes,yes,verified,2026-05-23,https://www.nvsep.org/colorado;https://www.businesswire.com/news/home/20240618707860/en/National-Voluntary-Self-Exclusion-Program-NVSEP-to-Begin-Free-Self-Exclusion-Assistance-in-Four-US-Jurisdictions,Colorado is a founding NVSEP state (launched August 2024). NVSEP assists consumers with enrollment in the Colorado Division of Gaming self-exclusion program covering casinos and sports betting. idPair operates the program.
Colorado,Colorado DFS / PrizePicks-Underdog-Dabble-Splash Sports - 50-State Self-Exclusion (idPair),national-NVSEP,idPair / Coalition for Fantasy Sports (PrizePicks; Underdog; Dabble; Splash Sports),DFS/fantasy sports,Online via operator apps / idPair platform,NOT FOUND - needs human review,NOT FOUND - needs human review,https://www.nvsep.org/,yes,yes,verified,2026-05-23,https://sbcamericas.com/2026/03/10/dfs-operators-self-exclusion-program/;https://www.saturdaydownsouth.com/news/dfs/idpair-dfs-operators-launch-first-50-state-national-self-exclusion-program/,"March 2026: PrizePicks, Underdog, Dabble, and Splash Sports (via Coalition for Fantasy Sports) launched first 50-state self-exclusion program with idPair covering DFS/pick'em across all 50 states simultaneously. Colorado DFS self-exclusion previously operator-level. This covers Colorado."
Colorado,No voluntary self-exclusion program — Colorado Lottery (confirmed),none,Colorado Lottery,lottery (retail;online courier apps),N/A,N/A,N/A,https://www.coloradolottery.com/en/about/know-your-limits/,no,no,verified,2026-05-23,https://www.coloradolottery.com/en/about/know-your-limits/;https://www.coloradolottery.com/en/about/protect-yourself/;https://www.coloradolottery.com/en/about/faqs/,Colorado Lottery official responsible gaming pages (Know Your Limits; Protect Yourself; FAQ) reviewed. The Colorado Lottery itself has no account-level self-exclusion program. Third-party courier apps operating in Colorado (Jackpocket; Jackpot.com) offer their own account self-exclusion (Jackpocket: 30/60/90-day or permanent; Jackpot.com: 3 months to lifetime) but these are operator-level tools not administered by the Colorado Lottery. The Lottery provides BetBlocker referral and 1-800-GAMBLER helpline only.
Connecticut,Connecticut Gaming Self-Exclusion Program (DCP Statewide),state-run,"Connecticut Department of Consumer Protection (DCP), Gaming Division",Commercial casino (tribal: Foxwoods; Mohegan Sun);iGaming/online casino;Sports betting (retail and online);DFS/fantasy sports;Lottery (iLottery/online keno);Charitable gaming,Online portal at gaming-exclusion.service.ct.gov OR in-person at Foxwoods or Mohegan Sun,"One year, five years, or lifetime",Written removal request to casino Director of Security (tribal properties); for DCP portal exclusions: request after minimum period expires; lifetime is irrevocable,https://portal.ct.gov/selfexclusion,no,no,verified,2026-05-23,https://portal.ct.gov/selfexclusion;https://gaming-exclusion.service.ct.gov/selfexclusion/s/registration;https://portal.ct.gov/DCP/News-Releases-from-the-Department-of-Consumer-Protection/2021-News-Releases/DCP-ANNOUNCES-LAUNCH-OF-STATEWIDE-SELF-EXCLUSION-LIST;https://portal.ct.gov/-/media/gaming/connecticut-gaming-self-exclusion-terms-and-conditions.pdf,"Statewide program launched 2021 under Public Act 21-23. Covers online casino, sports wagering, fantasy contests, keno/lottery (iLottery), and commercial/tribal gaming. Foxwoods and Mohegan Sun are tribal but participate in DCP statewide list; self-exclusion can be submitted in-person at either tribal casino. DCP email: dcp.selfexclusion@ct.gov. OTB/parimutuel horse racing under Sportech (Winners OTB) may be covered by the broader DCP mandate but specific confirmation not found - see notes. No NVSEP coverage confirmed for CT as of May 2026."
Delaware,Delaware Lottery Self-Exclusion Program,state-run,Delaware Lottery,Commercial casino (video lottery agents);iGaming/online casino;Sports betting (sports lottery),In person at Delaware Lottery office (appointment recommended); must present valid government-issued photo ID,One year; five years; lifetime,"After minimum period expires, appear in person at Lottery office to request reinstatement; lifetime exclusion cannot be removed",https://www.delottery.com/More/Table-Games/Self-Exclusion-Program,no,no,verified,2026-05-23,https://www.delottery.com/More/Table-Games/Self-Exclusion-Program;https://www.delottery.com/More/iGaming/Self-Exclusion-Program,"Program covers all licensed video lottery agents (Delaware Park Casino, Bally's Dover Resort & Casino, Harrington Raceway & Casino) and their iGaming websites and the Lottery's iGaming/Sports Mobile app. Violation is a Class A misdemeanor; winnings forfeited. Two separate pages on delottery.com (Table Games and iGaming) describe the same statewide program."
Delaware,Delaware Fantasy Sports Self-Exclusion (Operator-level),state-run,Delaware Division of Gaming Enforcement (DGE),DFS,Operator account-based (online); reported via Delaware DFS reports as player-initiated self-exclusion,Not publicly specified,Not publicly specified,https://fantasysports.delaware.gov/,no,no,verified,2026-05-23,https://fantasysports.delaware.gov/;https://fantasysports.delaware.gov/reports/contentFolder/pdfs/Daily%20Fantasy%20Sports%202020%20Annual%20Report.pdf,"Delaware DFS regulations require operators to establish self-exclusion procedures. Annual reports track counts (e.g., 62 self-exclusions in 2020 reporting period). Program is operator-administered under DGE oversight. No separate statewide DFS self-exclusion portal found."
Delaware,Delaware Lottery Self-Exclusion Program (covers video lottery at racetracks; parimutuel not explicitly included),state-run,Delaware Lottery,video lottery at licensed agents (Delaware Park Casino; Harrington Raceway & Casino; Bally's Dover);iGaming websites;Lottery mobile app — parimutuel wagering not explicitly covered,In-person appointment at Delaware Lottery office (1575 McKee Road Suite 102; Dover DE 19904); call (302) 744-1669,1 year (minimum);5 years;lifetime,In-person at Lottery office after exclusion period expires; lifetime is permanent and irrevocable,https://www.delottery.com/More/Video-Lottery/Self-Exclusion-Program,no,no,verified,2026-05-23,https://www.delottery.com/More/Video-Lottery/Self-Exclusion-Program;https://www.delottery.com/More/Table-Games/Self-Exclusion-Program;https://agriculture.delaware.gov/horse-racing/,Delaware Lottery self-exclusion covers 'all gaming activities at licensed Delaware video lottery agents' including Delaware Park Casino and Harrington Raceway & Casino plus their iGaming sites. The program is explicitly tied to video lottery operations. The Delaware Thoroughbred and Harness Racing Commissions have no separate self-exclusion program for parimutuel wagering. Parimutuel wagering is not mentioned in the Lottery self-exclusion documentation. Classified as state-run for video lottery vertical; parimutuel wagering at same racetracks has no confirmed separate exclusion mechanism.
Delaware,No voluntary self-exclusion program (confirmed — Delaware Board of Charitable Gaming),none,Delaware Board of Charitable Gaming (Division of Professional Regulation),charitable gaming (bingo;raffles;Texas Hold'em poker;instant/sealed games),N/A,N/A,N/A,https://dpr.delaware.gov/boards/gaming/,no,no,verified,2026-05-23,https://dpr.delaware.gov/boards/gaming/;https://dpr.delaware.gov/boards/gaming/faqs/,Delaware Board of Charitable Gaming official website and FAQs reviewed. No self-exclusion program exists. Sponsoring organizations are only required to post the DCGP helpline (1-888-850-8888). No self-exclusion provisions appear in the board's regulations (10 Del. Admin. Code 100) or enabling statute (28 Del. C. ch. 15).
Florida,"Florida Gaming Control Commission Voluntary Self-Exclusion Program (Pari-Mutuel Wagering, Cardrooms, Slots)",state-run,Florida Gaming Control Commission (FGCC),Commercial casino (slot facilities in Miami-Dade/Broward);Horse/parimutuel racing;Charitable gaming (cardrooms),In person at any Florida FGCC/Division of Pari-Mutuel Wagering facility; must present valid photo ID; photograph and physical description taken,1 year to lifetime (minimum 6 months noted in FCCG materials; FGCC materials say minimum 1 year),Not confirmed; person may request removal after minimum period per general FGCC guidance,https://flgaming.gov/pmw/exclusion/,no,no,verified,2026-05-23,https://flgaming.gov/pmw/exclusion/;https://flgaming.gov/pmw/;https://regulations.justia.com/states/florida/75/75/chapter-75-14/section-75-14-020/,"FGCC Exclusion List page at flgaming.gov/pmw/exclusion. Covers pari-mutuel wagering sites, cardrooms, and licensed slot facilities. Florida Lottery does NOT appear to have its own self-exclusion program — Florida Lottery responsible gaming page references problem gambling helpline only. Seminole tribal casino self-exclusion is separate (property/tribal level)."
Florida,Seminole Tribe / Hard Rock Bet Self-Exclusion,property-by-property,Seminole Tribe of Florida / Hard Rock Digital,Commercial casino (Seminole tribal);Sports betting (Hard Rock Bet online),In app via Hard Rock Bet (Responsible Gaming > Self-Exclusion) or at Seminole tribal property,6 months; 1 year; permanent (irreversible during period for app; property exclusion options may differ),Self-exclusion during term is permanent/irreversible per Hard Rock Bet app,https://www.hardrock.bet/florida/,no,no,verified,2026-05-23,https://www.hardrock.bet/florida/;https://www.hardrockdigital.com/responsible-gaming/,Seminole-Florida compact requires tribal operation to maintain voluntary self-exclusion. Hard Rock Bet responsible gaming site is rg.hardrock.bet. Tribal casino self-exclusion is property-level / tribal. Not administered by Florida state gaming agency.
Florida,No self-exclusion program for Florida Lottery,none,Florida Lottery,lottery-retail,none,none,none,https://floridalottery.com/play-responsibly,no,no,verified,2026-05-23,https://floridalottery.com/play-responsibly,Official FL Lottery responsible-gaming page lists helpline referrals (888-ADMIT-IT; 1-800-MY-RESET; Gamblers Anonymous) and budget tips but no self-exclusion mechanism. FL Lottery is retail-only; no iLottery online sales. Self-exclusion is absent from all enumerated RG tools.
Georgia,Georgia Lottery Corporation Voluntary Self-Exclusion Program,state-run,Georgia Lottery Corporation (GLC),Lottery (online/mobile lottery play — iHOPE account; Diggi Games; online ticket purchase),Online via Georgia Lottery account / call Player Information Hotline at 1-800-GA-LUCKY (1-800-425-8259),3 months; 6 months; 1 year; 2 years; 5 years; 10 years (irrevocable once selected),Not permitted during selected period; must call Player Information Hotline to request reactivation after period expires,https://www.galottery.com/en-us/myaccount/self-exclusion.html,no,no,verified,2026-05-23,https://www.galottery.com/en-us/myaccount/self-exclusion.html;https://www.galottery.com/en-us/about-us/play-responsibly.html;https://d1gszp1bmamha.cloudfront.net/content/dam/portal/pdfs/about-us/Voluntary_Self-Exclusion_Program.pdf,"Program covers online/mobile lottery play (iHOPE account), including Diggi Games. Does NOT appear to cover retail/in-store ticket purchase (no mechanism to enforce at point of sale). Georgia earned NCPG iCAP accreditation for online responsible gambling. No evidence of DFS-specific state self-exclusion program; Georgia has no authorizing DFS statute — operator-level only via CFS/NVSEP."
Georgia,Georgia DFS — operator-level / national NVSEP (CFS operators),national-NVSEP,Coalition for Fantasy Sports / idPair (operator-administered),DFS,"Online via individual operator apps (PrizePicks, Underdog, Dabble, Splash Sports)",Not state-specified; operator terms apply,Not state-specified; operator terms apply,https://www.nvsep.org/,yes,yes,verified,2026-05-23,https://sbcamericas.com/2026/03/10/dfs-operators-self-exclusion-program/;https://www.nvsep.org/,"Georgia has no DFS authorizing statute; operators run under general rules. Four leading DFS operators (PrizePicks, Underdog, Dabble, Splash Sports) launched an all-50-state self-exclusion program via idPair/CFS effective March 2026. Covers Georgia by default. No state-run program."
Hawaii,No gambling — no self-exclusion program,none,N/A,N/A,N/A,N/A,N/A,N/A,no,no,N/A - no legal gambling,2026-05-23,https://www.capitol.hawaii.gov/docs/HRS.htm,All forms of gambling prohibited under Hawaii Revised Statutes Chapter 712. No authorized verticals; no self-exclusion program exists or is needed.
Idaho,No self-exclusion program for Idaho Lottery,none,Idaho Lottery,lottery-retail,none,none,none,https://www.idaholottery.com/play-wise/overview,no,no,verified,2026-05-23,https://www.idaholottery.com/play-wise/overview | https://www.idaholottery.com/pages/please-play-responsibly,Play Wise / responsible gaming pages list age requirement and NCPG helpline only; no self-exclusion or account-restriction tool. Idaho Lottery has no iLottery online sales channel. Self-exclusion is not enumerated among RG tools.
