jurisdiction,body_type,body_name,verticals_covered,address,phone,website,facebook,twitter_x,linkedin,youtube,other_social,leadership_title,leadership_name,leadership_email,general_email,source_urls,retrieval_date,notes
California,State Lottery,California Lottery Commission,Lottery,,1-800-568-8379,https://www.calottery.com/,https://www.facebook.com/calottery,,https://www.linkedin.com/company/california-state-lottery,https://www.youtube.com/watch?v=yhUEw9zx6eQ,instagram: https://www.instagram.com/calottery/,Commission Chair,Dr. Anthony Garrison-Engbrecht,,pio@calottery.com,https://www.nagra.org/State-and-Province-Gaming-Regulatory-Agencies; https://www.calottery.com/en/; https://www.calottery.com/contact-us; https://www.calottery.com/contact-us; https://www.calottery.com/en/about-us; https://www.calottery.com/en/about-us; https://www.calottery.com/en/; https://www.calottery.com/en/about-us; https://www.calottery.com/en/about-us/lottery-commission,2026-05-22,Seeded from NAGRA. Enrich with leadership/address/phone from official site.
California,State Racing Commission,California Horse Racing Board,Horse/Greyhound Racing,,(916) 263-6009,http://www.chrb.ca.gov/index.html,https://www.facebook.com/cachrb,http://twitter.com/cachrb,,http://www.youtube.com/user/calchrb,,,,,information@chrb.ca.gov,https://www.nagra.org/State-and-Province-Gaming-Regulatory-Agencies; https://www.chrb.ca.gov//index.html; https://www.chrb.ca.gov//index.html; https://www.chrb.ca.gov//contact.html; https://www.chrb.ca.gov//about.html,2026-05-22,Seeded from NAGRA. Enrich with leadership/address/phone from official site.
California,Tribal Gaming Commission,Agua Caliente Band of Cahuilla Indians — Tribal Gaming Commission,Tribal Class II & III,"5401 Dinah Shore Dr., Palm Springs CA 92264",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,laviles@aguacaliente.net,laviles@aguacaliente.net,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
California,Tribal Gaming Commission,"Alturas Indian Rancheria, California — Tribal Gaming Commission",Tribal Class II & III,"PO Box 340 901 County Road 56, Alturas CA 96101",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,air530@yahoo.com,air530@yahoo.com,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
California,Tribal Gaming Commission,Barona Group of Capitan Grande Band of — Tribal Gaming Commission,Tribal Class II & III,"1095 Barona Road, Lakeside CA 92040",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,rwelch@barona-nsn.gov,rwelch@barona-nsn.gov,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
California,Tribal Gaming Commission,Bear River Band of the Rohnerville Rancheria — Tribal Gaming Commission,Tribal Class II & III,"266 Keisner Road, Loleta CA 95551",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,josefinacortez@brb-nsn.gov,josefinacortez@brb-nsn.gov,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
California,Tribal Gaming Commission,Berry Creek Rancheria of Maidu Indians of — Tribal Gaming Commission,Tribal Class II & III,"5 Tyme Way, Oroville CA 95966",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,fsteele@berrycreekrancheria.com,fsteele@berrycreekrancheria.com,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
California,Tribal Gaming Commission,Big Sandy Band of Western Mono Indians — Tribal Gaming Commission,Tribal Class II & III,"P.O. Box 337 37302 Rancheria Lane, Auberry CA",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,Ikipp@bsrnation.com,Ikipp@bsrnation.com,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
California,Tribal Gaming Commission,Big Valley Band of Pomo Indians — Tribal Gaming Commission,Tribal Class II & III,"2726 Mission Rancheria Road, Lakeport CA 95453",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,FMcCloud@big-valley.net,FMcCloud@big-valley.net,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
California,Tribal Gaming Commission,Bishop Paiute Tribe — Tribal Gaming Commission,Tribal Class II & III,"50 Tu Su Lane, Bishop CA 93514",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,Steven.orihuela@bishoppaiute.org,Steven.orihuela@bishoppaiute.org,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
California,Tribal Gaming Commission,Blue Lake Rancheria — Tribal Gaming Commission,Tribal Class II & III,"P.O. Box 428 428 Chartin Road, Blue Lake CA",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,arla95525@yahoo.com,arla95525@yahoo.com,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
California,Tribal Gaming Commission,Buena Vista Rancheria of Me-Wuk Indians — Tribal Gaming Commission,Tribal Class II & III,"4650 Coal Mine Rd, Ione CA 95640",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,jessalynn@bvtribe.com,jessalynn@bvtribe.com,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
California,Tribal Gaming Commission,"Cabazon Band of Mission Indians 84-245 B Indio Springs Dr., Indio CA 92203 — Tribal Gaming Commission",Tribal Class II & III,,not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,nmarkwardt@cabazonindians-nsn.gov,nmarkwardt@cabazonindians-nsn.gov,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
California,Tribal Gaming Commission,Cachil Dehe Band of Wintun Indians of the — Tribal Gaming Commission,Tribal Class II & III,"3730 Hwy 45, Colusa CA 95932",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,chair@colusa-nsn.gov,chair@colusa-nsn.gov,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
California,Tribal Gaming Commission,Cahuilla Band of Mission Indians of the — Tribal Gaming Commission,Tribal Class II & III,"P.O. Box 391760 52701 Highway 371, Anza CA",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,chair@cahuilla-nsn.gov,chair@cahuilla-nsn.gov,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
California,Tribal Gaming Commission,Campo Band of Diegueno Mission of the — Tribal Gaming Commission,Tribal Class II & III,"36190 Church Rd.,Suite 1 PO Box 310, Campo CA",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,mcuero@campo-nsn.gov,mcuero@campo-nsn.gov,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
California,Tribal Gaming Commission,Chemehuevi Indian Tribe of the Chemehuevi — Tribal Gaming Commission,Tribal Class II & III,"P.O. Box 1976 1990 Palo Verde Dr., Havasu Lake",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,Chairman@cit-nsn.gov,Chairman@cit-nsn.gov,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
California,Tribal Gaming Commission,"Cher-Ae Heights Indian Community of the P.O.Box 630, Trinidad CA 95570 — Tribal Gaming Commission",Tribal Class III 502.3 &,,not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,aatkins@trinidadrancheria.com,aatkins@trinidadrancheria.com,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
California,Tribal Gaming Commission,Chicken Ranch Rancheria of Me-wuk Indians — Tribal Gaming Commission,Tribal Class II & III,"P.O. Box 1159 9195 Red Tail Hawk Drive,",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,jmathiesen@tribal.com,jmathiesen@tribal.com,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
